Run 1,13755,73693,836414,8726928,204004903
Run 2,19422,74336,788027,10618361,127783340
Run 3,9455,74971,856668,14336800,201992745
Run 4,19368,74098,967960,18896155,122879523
Run 5,19413,74937,861172,17309929,89604894
Run 6,15289,74224,793081,15060710,149360491
Run 7,19601,73803,849697,9585560,212062551
Run 8,19762,74751,813441,20424848,190979046
Run 9,8092,84133,847106,14387543,137843993
Run 10,13763,73787,3145552,24878646,98721475
Average,15792,75273.3,1075911.8,15422548,153523296.1
