Run 1,36759,545509,7851964,51601540,516379743
Run 2,26852,323560,4589761,50491665,504971367
Run 3,24556,317505,5071027,51148536,504935885
Run 4,24371,492342,5103378,47399229,504198616
Run 5,24389,316950,5259252,50748944,506965147
Run 6,24371,338227,5287066,50762551,507482142
Run 7,24797,388321,5053802,50494351,504907772
Run 8,24464,389358,5146229,51682180,516254766
Run 9,24371,592509,4744481,49208489,505052520
Run 10,24871,387599,4839649,51148181,516007233
Average,25980.1,409188,5294660.9,50468566.6,508715519.1
